DATE,REEF,SITE,RESEARCH_SITE,BARRAMUNDI_COD_1,BUTTERFLYFISH_1,CORALTROUT_30_40CM_1,CORALTROUT_40_50CM_1,CORALTROUT_50_60CM_1,CORALTROUT_GREATER_60CM_1,CORALTROUT_TOTAL_1,GROUPER_30_40CM_1,GROUPER_40_50CM_1,GROUPER_50_60CM_1,GROUPER_GREATER_60CM_1,GROUPER_TOTAL_1,QUEENSLAND_GROUPER_1,HUMPHEAD_WRASSE_1,MORAY_EEL_1,BUMPHEAD_PARROTFISH_1,OTHER_PARROTFISH_1,SNAPPER_1,SWEETLIPS_1,TUSK_FISH_1,EMPERORS_1,BARRAMUNDI_COD_2,BUTTERFLYFISH_2,CORALTROUT_30_40CM_2,CORALTROUT_40_50CM_2,CORALTROUT_50_60CM_2,CORALTROUT_GREATER_60CM_2,CORALTROUT_TOTAL_2,GROUPER_30_40CM_2,GROUPER_40_50CM_2,GROUPER_50_60CM_2,GROUPER_GREATER_60CM_2,GROUPER_TOTAL_2,QUEENSLAND_GROUPER_2,HUMPHEAD_WRASSE_2,MORAY_EEL_2,BUMPHEAD_PARROTFISH_2,OTHER_PARROTFISH_2,SNAPPER_2,SWEETLIPS_2,TUSK_FISH_2,EMPERORS_2,BARRAMUNDI_COD_3,BUTTERFLYFISH_3,CORALTROUT_30_40CM_3,CORALTROUT_40_50CM_3,CORALTROUT_50_60CM_3,CORALTROUT_GREATER_60CM_3,CORALTROUT_TOTAL_3,GROUPER_30_40CM_3,GROUPER_40_50CM_3,GROUPER_50_60CM_3,GROUPER_GREATER_60CM_3,GROUPER_TOTAL_3,QUEENSLAND_GROUPER_3,HUMPHEAD_WRASSE_3,MORAY_EEL_3,BUMPHEAD_PARROTFISH_3,OTHER_PARROTFISH_3,SNAPPER_3,SWEETLIPS_3,TUSK_FISH_3,EMPERORS_3,BARRAMUNDI_COD_4,BUTTERFLYFISH_4,CORALTROUT_30_40CM_4,CORALTROUT_40_50CM_4,CORALTROUT_50_60CM_4,CORALTROUT_GREATER_60CM_4,CORALTROUT_TOTAL_4,GROUPER_30_40CM_4,GROUPER_40_50CM_4,GROUPER_50_60CM_4,GROUPER_GREATER_60CM_4,GROUPER_TOTAL_4,QUEENSLAND_GROUPER_4,HUMPHEAD_WRASSE_4,MORAY_EEL_4,BUMPHEAD_PARROTFISH_4,OTHER_PARROTFISH_4,SNAPPER_4,SWEETLIPS_4,TUSK_FISH_4,EMPERORS_4
25/11/2018 9:15,Amity Point,Amity Point,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8/06/2019 11:45,Amity Point,Amity Point,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/02/2018 7:55,Bulcock Beach,Boardwalk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/02/2019 7:00,Bulcock Beach,Boardwalk,1,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
20/07/2019 12:30,Cook Island,Cook Island,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
9/03/2019 11:00,Currimundi Reef,Currimundi Reef,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
6/01/2018 8:45,Currimundi Reef,Currimundi Reef,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8/02/2014 9:09,Currimundi Reef,Currimundi Reef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0
28/01/2017 9:30,Currimundi Reef,Currimundi Reef,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
21/12/2014 13:00,Currimundi Reef,Currimundi Reef,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
