DATE,REEF,SITE,RESEARCH_SITE,BLEACHING_SURFACE_1,BLEACHING_POPULATION_1,DAMAGE_ANCHOR_1,DAMAGE_DYNAMITE_1,DAMAGE_OTHER_1,DISEASE_COLONIES_1,DISEASE_POPULATION_1,SCARS_COTS_1,SCARS_DRUPELLA_1,SCARS_UNKNOWN_1,FISHINGLINE_1,TRASH_FISHNETS_1,TRASH_GENERAL_1,RARE_ANIMALS_1,BLEACHING_SURFACE_2,BLEACHING_POPULATION_2,DAMAGE_ANCHOR_2,DAMAGE_DYNAMITE_2,DAMAGE_OTHER_2,DISEASE_COLONIES_2,DISEASE_POPULATION_2,SCARS_COTS_2,SCARS_DRUPELLA_2,SCARS_UNKNOWN_2,FISHINGLINE_2,TRASH_FISHNETS_2,TRASH_GENERAL_2,RARE_ANIMALS_2,BLEACHING_SURFACE_3,BLEACHING_POPULATION_3,DAMAGE_ANCHOR_3,DAMAGE_DYNAMITE_3,DAMAGE_OTHER_3,DISEASE_COLONIES_3,DISEASE_POPULATION_3,SCARS_COTS_3,SCARS_DRUPELLA_3,SCARS_UNKNOWN_3,FISHINGLINE_3,TRASH_FISHNETS_3,TRASH_GENERAL_3,RARE_ANIMALS_3,BLEACHING_SURFACE_4,BLEACHING_POPULATION_4,DAMAGE_ANCHOR_4,DAMAGE_DYNAMITE_4,DAMAGE_OTHER_4,DISEASE_COLONIES_4,DISEASE_POPULATION_4,SCARS_COTS_4,SCARS_DRUPELLA_4,SCARS_UNKNOWN_4,FISHINGLINE_4,TRASH_FISHNETS_4,TRASH_GENERAL_4,RARE_ANIMALS_4
25/11/2018 9:15,Amity Point,Amity Point,1,0,0,0,0,3,0,0,0,0,0,10,0,2,0,0,0,0,0,4,0,0,0,0,1,7,0,2,0,0,0,0,0,2,0,0,0,0,4,7,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0
12/03/2016 10:00,Amity Point,Amity Point,1,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0
25/11/2017 12:30,Amity Point,Amity Point,2,14,10,0,0,0,0,0,0,0,0,10,0,2,2,57,10,0,0,11,0,0,0,0,0,11,0,1,1,65,20,0,0,0,0,0,0,0,0,5,0,2,0,63,10,0,0,0,0,0,0,0,0,2,0,1,0
17/09/2016 8:55,Amity Point,Amity Point,2,0,0,0,0,1,0,0,0,0,0,7,0,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,40,5,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0
8/06/2019 11:45,Amity Point,Amity Point,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0
20/08/2012 10:00,Big Woody Island,Big Woody Conservation Park Zone,1,45,1,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,1,0,0,0,0,2,0,0,0,38,1,0,0,0,0,0,0,0,0,2,0,0,0,30,1,0,0,0,0,0,0,0,0,3,0,0,0
12/08/2013 11:40,Big Woody Island,Big Woody Conservation Park Zone,2,30,1,0,0,0,0,0,0,0,0,2,0,0,0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,2,15,0,0,1,0,0,0,0,0,0,0,0,0
18/06/2017 14:30,Big Woody Island,Big Woody Conservation Park Zone,3,33,1,0,0,6,0,0,0,0,0,0,0,0,0,45,50,0,0,3,0,0,0,0,0,2,0,0,0,55,20,0,0,0,0,0,0,0,0,0,0,0,0,39,20,0,0,1,0,0,0,0,0,0,0,0,0
30/08/2014 10:30,Big Woody Island,Big Woody Conservation Park Zone,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,20,1,0,0,3,0,0,0,0,0,0,1,0,0,23,1,0,0,2,0,0,0,0,0,0,1,0,0,26,3,0,0,1,0,0,0,0,4,4,0,0,0
11/02/2018 7:55,Bulcock Beach,Boardwalk,1,0,0,0,0,0,0,0,0,0,0,22,0,7,0,0,0,0,0,0,0,0,0,0,0,10,1,4,0,0,0,0,0,0,0,0,0,0,0,15,2,5,0,0,0,0,0,0,0,0,0,0,0,26,1,7,0
