DATE,REEF,SITE,RESEARCH_SITE,SUBSTRATE_000,SUBSTRATE_001,SUBSTRATE_002,SUBSTRATE_003,SUBSTRATE_004,SUBSTRATE_005,SUBSTRATE_006,SUBSTRATE_007,SUBSTRATE_008,SUBSTRATE_009,SUBSTRATE_010,SUBSTRATE_011,SUBSTRATE_012,SUBSTRATE_013,SUBSTRATE_014,SUBSTRATE_015,SUBSTRATE_016,SUBSTRATE_017,SUBSTRATE_018,SUBSTRATE_019,SUBSTRATE_020,SUBSTRATE_021,SUBSTRATE_022,SUBSTRATE_023,SUBSTRATE_024,SUBSTRATE_025,SUBSTRATE_026,SUBSTRATE_027,SUBSTRATE_028,SUBSTRATE_029,SUBSTRATE_030,SUBSTRATE_031,SUBSTRATE_032,SUBSTRATE_033,SUBSTRATE_034,SUBSTRATE_035,SUBSTRATE_036,SUBSTRATE_037,SUBSTRATE_038,SUBSTRATE_039,SUBSTRATE_040,SUBSTRATE_041,SUBSTRATE_042,SUBSTRATE_043,SUBSTRATE_044,SUBSTRATE_045,SUBSTRATE_046,SUBSTRATE_047,SUBSTRATE_048,SUBSTRATE_049,SUBSTRATE_050,SUBSTRATE_051,SUBSTRATE_052,SUBSTRATE_053,SUBSTRATE_054,SUBSTRATE_055,SUBSTRATE_056,SUBSTRATE_057,SUBSTRATE_058,SUBSTRATE_059,SUBSTRATE_060,SUBSTRATE_061,SUBSTRATE_062,SUBSTRATE_063,SUBSTRATE_064,SUBSTRATE_065,SUBSTRATE_066,SUBSTRATE_067,SUBSTRATE_068,SUBSTRATE_069,SUBSTRATE_070,SUBSTRATE_071,SUBSTRATE_072,SUBSTRATE_073,SUBSTRATE_074,SUBSTRATE_075,SUBSTRATE_076,SUBSTRATE_077,SUBSTRATE_078,SUBSTRATE_079,SUBSTRATE_080,SUBSTRATE_081,SUBSTRATE_082,SUBSTRATE_083,SUBSTRATE_084,SUBSTRATE_085,SUBSTRATE_086,SUBSTRATE_087,SUBSTRATE_088,SUBSTRATE_089,SUBSTRATE_090,SUBSTRATE_091,SUBSTRATE_092,SUBSTRATE_093,SUBSTRATE_094,SUBSTRATE_095,SUBSTRATE_096,SUBSTRATE_097,SUBSTRATE_098,SUBSTRATE_099,SUBSTRATE_100,SUBSTRATE_101,SUBSTRATE_102,SUBSTRATE_103,SUBSTRATE_104,SUBSTRATE_105,SUBSTRATE_106,SUBSTRATE_107,SUBSTRATE_108,SUBSTRATE_109,SUBSTRATE_110,SUBSTRATE_111,SUBSTRATE_112,SUBSTRATE_113,SUBSTRATE_114,SUBSTRATE_115,SUBSTRATE_116,SUBSTRATE_117,SUBSTRATE_118,SUBSTRATE_119,SUBSTRATE_120,SUBSTRATE_121,SUBSTRATE_122,SUBSTRATE_123,SUBSTRATE_124,SUBSTRATE_125,SUBSTRATE_126,SUBSTRATE_127,SUBSTRATE_128,SUBSTRATE_129,SUBSTRATE_130,SUBSTRATE_131,SUBSTRATE_132,SUBSTRATE_133,SUBSTRATE_134,SUBSTRATE_135,SUBSTRATE_136,SUBSTRATE_137,SUBSTRATE_138,SUBSTRATE_139,SUBSTRATE_140,SUBSTRATE_141,SUBSTRATE_142,SUBSTRATE_143,SUBSTRATE_144,SUBSTRATE_145,SUBSTRATE_146,SUBSTRATE_147,SUBSTRATE_148,SUBSTRATE_149,SUBSTRATE_150,SUBSTRATE_151,SUBSTRATE_152,SUBSTRATE_153,SUBSTRATE_154,SUBSTRATE_155,SUBSTRATE_156,SUBSTRATE_157,SUBSTRATE_158,SUBSTRATE_159,MACROALGAE_1,MACROALGAE_2,MACROALGAE_3,MACROALGAE_4
12/03/2016 0:00,Amity Point,Amity Point,1,SD,SD,SD,SD,SD,RCTA,OT,RCTA,SD,SD,SD,SD,OT,SD,SD,SD,SD,SD,SD,SD,RCTA,SD,OT,RCTA,OT,RCTA,SD,SD,SD,OT,SC,SD,SD,SD,SD,SD,SD,SD,SP,SD,SD,SD,RCTA,SP,SD,SD,SP,RCTA,SD,SD,SP,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SI,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,SD,SD,SD,RCTA,RCTA,SI,SD,SD,RCTA,SD,SD,SD,SD,SD,RCTA,SD,OT,RCTA,SD,SD,SD,SD,SD,SD,SI,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,RCTA,SD,SD,SD,RCTA,RCTA,RCTA,RCTA,RCTA,SP,SP,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,RCTA,RCTA,SD,SD,SD,SD,SD,SD,RCTA,RB,RB,RB,RCTA,0,0,0,0
25/11/2018 9:15,Amity Point,Amity Point,1,RCTA,SD,SD,SD,SD,RCTA,SD,SD,SD,SD,SD,SD,SP,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SP,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SP,SD,SD,SD,SD,SD,SD,RCTA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,RCTA,SD,RCTA,RCTA,SD,SD,SD,SD,SD,SD,SD,SP,SD,RCTA,SD,SD,RCTA,SD,SD,HC,SD,SD,SD,RCTA,HCE,RC,RCTA,RCTA,SD,SD,RCTA,RC,SD,RC,SD,SD,SD,RCTA,RCTA,SI,SI,HCBR,RCTA,HCBR,RCTA,RCTA,SI,RCTA,RCTA,SI,SI,SI,SI,SI,RCTA,RCTA,SI,SD,SD,SD,RCTA,RCTA,RCTA,SI,SI,RCTA,RCTA,RCTA,SD,SD,RCTA,RCTA,RCTA,SD,SCZ,RCTA,RCTA,RCTA,RCTA,0,0,0,0
17/09/2016 0:00,Amity Point,Amity Point,2,HC,RCTA,RC,RC,RC,RB,OT,RC,RC,SP,SP,SC,OT,OT,SC,RC,RCTA,OT,OT,RC,RC,OT,SC,SC,RC,OT,RCTA,OT,RCTA,SD,RCTA,HCBR,RCTA,HCE,RC,RC,SD,SC,HC,RC,RC,RCTA,RCTA,RCTA,SD,SD,SD,SD,RCTA,SD,SD,SD,SD,SD,SD,SD,SPE,SD,SD,OT,SD,SD,SD,SD,SD,SD,RC,SD,SD,SD,SD,SD,SD,SD,SD,RC,RCTA,SD,SD,RC,HC,RCTA,SD,SD,SD,SD,SD,SD,SD,SD,RC,SD,SD,SD,SD,SD,SD,RCTA,SD,SD,SD,SD,SD,SD,RCTA,SD,RC,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,SD,SD,RCTA,RCTA,SD,RCTA,SD,SD,SD,SD,SD,SD,SD,HCBR,RCTA,RCTA,SD,SD,RCTA,RCTA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,0,0,0,0
8/06/2019 12:00,Amity Point,Amity Point,2,RC,RB,RB,RB,RCTA,RCTA,RB,SD,RB,RCTA,RCTA,RCTA,RCTA,RC,SD,OT,SD,RCTA,SD,SD,RCTA,OT,HC,RCTA,SD,RCTA,SD,RCTA,HCBR,RB,SD,RCTA,SD,SD,RKCNIA,SD,SD,SD,SD,SD,HCBR,SD,SD,RCTA,SD,SD,SD,SD,RCTA,RCTA,HCBR,RCTA,RCTA,RB,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,RCTA,RCTA,HCBR,SD,RCTA,RCTA,SD,RCTA,RKC,SD,SD,SD,RCTA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,0,0
25/11/2017 0:00,Amity Point,Amity Point,2,RCTA,RCTA,RCTA,RCTA,RCTA,SD,RCTA,RCTA,RCTA,RB,RCTA,RB,RCTA,RC,RCTA,RC,HCBR,RC,RCTA,RC,RC,RC,SC,RCTA,SC,RCTA,SP,SP,SP,RCTA,RCTA,RCTA,SD,RCTA,RCTA,RCTA,SD,SD,RCTA,RCTA,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SD,SPE,SD,SD,HC,RCTA,RCTA,SD,RCTA,SPE,RCTA,SD,SD,RCTA,HCE,RCTA,SD,SD,SD,SPE,RC,SD,SD,RCTA,SD,SD,RCTA,SD,SD,HC,SD,SD,SD,SD,SD,SD,SD,RCTA,SD,SD,SD,SD,SD,RCTA,SD,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,SD,RCTA,SC,SD,RCTA,SD,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,SD,SD,RCTA,SD,SD,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,HC,RCTA,HC,HCBR,SD,RCTA,RCTA,RCTA,SD,SD,RCTA,RCTA,RCTA,SD,SD,SCL,SD,RCTA,RCTA,SD,RCTA,RB,HC,RCTA,HCBR,RCTA,RCTA,SD,RB,SD,0,0,0,0
1/02/2019 7:00,Bulcock Beach,Boardwalk,1,RCTA,RCTA,SI,RCTA,RCTA,RCTA,RCTA,RCTA,SI,SI,SI,SI,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,SP,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RB,SP,SI,SI,RCTA,RB,RCTA,RB,SI,SP,SI,SI,SI,SI,SI,SI,RCTA,RCTA,RB,RCTA,RB,RCTA,RCTA,SI,SI,RCTA,RCTA,SI,RCTA,RB,SI,RCTA,RCTA,RCTA,RB,SI,SP,SI,RCTA,SI,RCTA,RCTA,SP,RCTA,RCTA,SI,SI,RCTA,RCTA,SI,SI,RCTA,RCTA,RCTA,RCTA,RB,SI,RCTA,SI,RCTA,SI,RCTA,SI,RCTA,RCTA,RB,SP,RB,RCTA,RCTA,RB,RB,RCTA,RCTA,RB,SP,RCTA,RB,RCTA,RCTA,RCTA,RCTA,RCTA,RB,RB,RB,RCTA,SI,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RB,RCTA,RCTA,RCTA,SI,RCTA,SI,SC,SI,RCTA,RCTA,RCTA,RCTA,SI,RB,SI,RB,RB,RCTA,RCTA,RCTA,SP,RCTA,RCTA,RCTA,SP,SI,RCTA,0,0,0,0
11/02/2018 0:00,Bulcock Beach,Boardwalk,1,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SD,SD,OT,OT,SD,RB,SI,SPE,SI,SI,SI,SI,HC,SI,SI,SI,SI,SI,SP,SPE,SI,SI,RB,RB,SI,SI,SI,SI,SPE,SI,RB,SD,RC,RB,RB,RB,RB,RB,SPE,SPE,SI,SI,SI,SI,RB,SI,SI,RB,RB,RB,RC,RB,NIA,RB,SI,SD,SPE,SPE,SI,NIA,RB,NIA,SI,SI,SI,SI,SI,SI,SD,SD,SI,SI,SD,SD,SI,SI,NIA,RB,RB,SI,SD,SI,SD,NIA,RB,RB,OT,NIA,RB,SI,SI,OT,OT,RB,RB,SD,RB,SP,RB,RB,NIA,RB,OT,NIA,NIA,RB,SI,SI,SI,RB,NIA,RB,OT,SI,NIA,SPE,SP,RB,SI,NIA,NIA,NIA,NIA,SI,OT,RB,SI,SI,SI,SI,SI,RB,SI,NIA,RB,NIA,SI,SD,SP,SD,RC,RB,NIA,RB,0,0,0,0
20/07/2019 13:00,Cook Island,Cook Island,1,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,SP,HCE,RCTA,RCTA,HCE,RCTA,RCTA,SPE,HCBR,HCP,RCTA,RCTA,RCTA,SD,SD,RCTA,SPE,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,RCTA,HCBR,HCE,HCE,RCTA,HCBR,RCTA,RCTA,RCTA,HCBR,RCTA,HCBR,RCTA,RCTA,RCTA,RCTA,RC,SPE,SPE,RCTA,RCTA,HCE,HCE,RCCA,RCCA,RCCA,RCCA,HCBR,RCCA,HCBR,RCCA,HCBR,HCBR,RCTA,SPE,RCTA,RCTA,RCTA,RCTA,SCL,HCP,HCBR,HCE,RCTA,RCTA,RCCA,RCCA,HCBR,RCCA,RCCA,SP,HCE,RCTA,RCCA,RCCA,RCCA,RCCA,RCCA,SP,HCBR,HCE,RCCA,HCBR,RCCA,RCCA,RCCA,HCE,RCCA,HCBR,RCCA,RCCA,RCCA,HCE,RCTA,HCBR,HCBR,RCCA,RCCA,RCCA,HCBR,RCCA,RCCA,RCCA,RCTA,SCL,RCTA,RCCA,RCCA,RCCA,RCTA,HCBR,RCCA,RCCA,RCCA,SPE,RCCA,RCCA,RCCA,RCCA,RCCA,RCTA,RCCA,RCTA,HCP,HCP,RCCA,HCBR,RCCA,HCBR,HCBR,RCCA,RCCA,HCBR,HCE,RCCA,RCCA,HCBR,RCTA,RCCA,RCCA,RCCA,RCTA,RCCA,HCE,HCBR,HCP,RCCA,RCTA,HCE,RCTA,7,12,20,19
7/05/2016 0:00,Currimundi Reef,Currimundi Reef,1,HCM,HCM,SC,RC,HC,HC,HCE,RC,RC,RC,HCM,SCL,HCM,HCM,HCM,SCL,SCZ,RCTA,HCM,SC,RC,HCM,SCZ,HCE,RCTA,RC,OT,RCTA,HCE,HCE,HCE,RCTA,RCTA,RCTA,SCL,RCTA,RCTA,HCE,SCL,HCM,RCTA,HCM,HCM,HCM,HCM,HCE,HCE,HCE,NIA,HCE,OT,RCTA,RC,RC,HCE,RCTA,RC,RC,HCE,RCTA,RCTA,RC,RC,HCE,HCE,SCL,HCE,HCE,SCZ,RCTA,HCE,RCTA,RC,RC,HCF,HCM,RC,HCM,RC,RC,RC,HCE,HCE,RCTA,RC,OT,OT,RC,HCE,RC,RC,RCTA,RC,HCE,HCE,SCL,HCE,RC,OT,RC,RC,RC,RC,SC,SC,RCTA,HCM,HCE,HCE,OT,RCTA,RC,SD,RCTA,SCL,RCTA,SCL,RC,OT,SCL,RC,RC,RB,RC,RC,RC,RC,RC,RC,HCE,RCTA,SCL,RCTA,HCM,RC,RCTA,RC,RC,SC,RCTA,HCM,HCE,SCL,RCTA,RC,HCM,HCE,RCTA,RC,HCM,SCL,RC,HCE,RC,SC,RC,HCE,RC,SCL,RC,5,2,3,3
8/12/2012 0:00,Currimundi Reef,Currimundi Reef,1,RCTA,SC,SC,RCTA,SCL,SCL,OT,HCE,RCTA,RCTA,RCTA,NIA,RCTA,HCE,HCE,HCE,SC,NIA,SC,HCE,SC,HCE,SC,HCE,OT,HC,SC,RCTA,OT,HCE,RCTA,HCE,RCTA,HCE,RCTA,RCTA,SD,NIA,RCTA,HCE,SD,SP,SD,HCE,RCTA,HCE,RCTA,HCE,HCE,OT,NIA,HCE,OT,SD,RCTA,NIA,HCE,NIA,RCTA,SD,HCE,SD,SD,SD,HCE,RCTA,SCL,HCE,NIA,HCE,RCTA,NIA,HCE,RB,RCTA,RCTA,SCL,SC,RCTA,HCE,RCTA,RCCA,HCE,SCL,HCE,SCL,RCTA,HCBR,RCTA,RCTA,HCE,HCE,RCTA,RCTA,HCE,HCE,HCE,RCTA,SCL,HCE,RCTA,HCE,RCTA,HCE,OT,HCE,SCL,SCL,RCTA,RCTA,RCTA,OT,SC,HCE,RCTA,RCTA,RCTA,HCE,RCTA,SC,SC,RCTA,HCE,RCTA,RCTA,SCL,HCE,HCE,SC,RCTA,RCCA,SPE,SCL,SCL,SCL,OT,SC,RCTA,SC,SCL,SC,RCTA,SCL,SC,SCL,NIA,RCTA,HCE,SPE,SCL,HCE,SCL,HCE,HCE,HCE,RCTA,OT,HCE,SCL,SCL,5,5,3,2
